escola,municipio,estado,ano,arquivo,disciplina,percentual_acertos,codigo,habilidade
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Língua Portuguesa,81,D021_P,Localizar informação explícita.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Língua Portuguesa,75,D017_P,Reconhecer o gênero de um texto.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Língua Portuguesa,73,D037_P,"Reconhecer as relações entre partes de um texto, identificando os recursos coesivos que contribuem para a sua continuidade."
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Língua Portuguesa,72,D022_P,Inferir o sentido de palavra ou expressão a partir do contexto.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Língua Portuguesa,72,D057_P,Interpretar textos que articulam elementos verbais e não verbais.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Língua Portuguesa,71,D023_P,Inferir informações em textos.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Língua Portuguesa,60,D030_P,Reconhecer os elementos que compõem uma narrativa e o conflito gerador.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Língua Portuguesa,59,D028_P,Reconhecer o assunto de um texto lido.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Língua Portuguesa,58,D054_P,Reconhecer o efeito de sentido decorrente da exploração de recursos morfossintáticos.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Língua Portuguesa,56,D019_P,Reconhecer formas de tratar uma informação na comparação de textos que tratam do mesmo tema.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Língua Portuguesa,53,D039_P,Reconhecer o sentido das relações lógico-discursivas em um texto.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Língua Portuguesa,50,D038_P,Distinguir um fato da opinião.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Língua Portuguesa,43,D016_P,Identificar a finalidade de textos de diferentes gêneros. (Matemática):
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Matemática,6,D030_M,Identificar o maior e/ou o menor número racional dentre uma coleção de números racionais.
