escola,municipio,estado,ano,arquivo,disciplina,acertos_medios,total_questoes,percentual_acertos,proficiencia,nivel
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Língua Portuguesa,17.0,26.0,63.83,50.3,Aprendizado intermediário
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Matemática,10.0,26.0,40.2,23.3,Defasagem
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,7º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 7º ANO.pdf,Língua Portuguesa,14.0,26.0,54.57,41.2,Aprendizado intermediário
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,7º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 7º ANO.pdf,Matemática,9.0,26.0,33.75,25.4,Defasagem
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,8º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 8º ANO.pdf,Matemática,10.0,26.0,38.08,17.4,Defasagem
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,8º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 8º ANO.pdf,Língua Portuguesa,16.0,26.0,61.24,42.8,Aprendizado intermediário
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,9º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 9º ANO.pdf,Língua Portuguesa,10.0,26.0,40.34,15.4,Defasagem
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,9º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 9º ANO.pdf,Matemática,9.0,26.0,33.37,7.5,Defasagem
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,17.0,22.0,76.45,75.9,Aprendizado adequado
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 2º ANO.pdf,Matemática,18.0,22.0,79.75,61.3,Aprendizado intermediário
